Date,Peak Generation on ,L0west Generation on ,Energy Recorded on ,Generation at 06:00Hrs on ,Highest System Frequency on ,Lowest System Frequency on ,Highest Voltage Recorded on ,Lowest Voltage Recorded on ,National Peak Demand Forecast:,Installed Generation  Capacity:,Generation Capacity:,Transmission Wheeling Capacity:,Peak Generation Ever Attained:,Energy Ever Attained
16/04/2020,5112.0,4148.2,109822.07,4287.7,50.55,49.7,350.0,300.0,25790.0,12910.4,7652.6,8100.0,5375.0,111084.61
04/04/2020,4370.4,3391.7,97728.94,1880.8,50.65,49.82,355.0,300.0,25790.0,12910.4,7652.6,8100.0,5375.0,111084.61
11/04/2020,4867.5,3358.9,95443.8,3675.2,50.67,49.54,350.0,280.0,25790.0,12910.4,7652.6,8100.0,5375.0,111084.61
09/04/2020,5048.2,3154.9,94602.67,3982.0,50.76,49.58,357.0,300.0,25790.0,12910.4,7652.6,8100.0,5375.0,111084.61
08/04/2020,4449.7,3316.7,92358.63,3322.1,5.61,49.57,349.0,300.0,25790.0,12910.4,7652.6,8100.0,5375.0,111084.61
15/04/2020,4979.7,4096.5,107963.46,4148.2,50.54,49.69,349.0,290.0,25790.0,12910.4,7652.6,8100.0,5375.0,111084.61
12/04/2020,4703.5,3615.0,99476.58,4203.2,50.53,49.63,350.0,280.0,25790.0,12910.4,7652.6,8100.0,5375.0,111084.61
10/04/2020,4850.4,3822.3,102842.04,3541.1,50.61,49.71,352.0,300.0,25790.0,12910.4,7652.6,8100.0,5375.0,111084.61
17/04/2020,5146.5,4215.6,109251.82,4115.0,50.6,49.76,349.0,300.0,25790.0,12910.4,7652.6,8100.0,5375.0,111591.83
13/04/2020,4691.7,3938.8,103159.5,4099.7,50.62,49.73,351.0,295.0,25790.0,12910.4,7652.6,8100.0,5375.0,111084.61
03/04/2020,4807.8,3391.3,97988.78,3810.4,50.74,49.64,352.0,280.0,25790.0,12910.4,7652.6,8100.0,5375.0,111084.61
06/04/2020,4732.4,3235.5,94978.04,3435.8,50.55,49.67,353.0,280.0,25790.0,12910.4,7652.6,8100.0,5375.0,111084.61
07/04/2020,4706.6,2897.8,90573.22,3481.6,51.28,49.65,358.0,290.0,25790.0,12910.4,7652.6,8100.0,5375.0,111084.61
14/04/2020,4972.5,4052.5,106634.04,4284.3,50.53,49.69,350.0,300.0,25790.0,12910.4,7652.6,8100.0,5375.0,111084.61
01/04/2020,4431.9,3702.0,97980.93,3049.2,50.62,49.92,350.0,300.0,25790.0,12910.4,7652.6,8100.0,5375.0,111084.61
